NAMOBJ,jumlah_ws,luas_ws_km2,jumlah_das,luas_das_km2
Kota Pekalongan,1,46.2,2,46.2
Kota Pekanbaru,2,638.33,2,638.33
Kota Pematangsiantar,1,75.92,2,75.92
Kota Pontianak,1,118.21,1,118.21
Kota Prabumulih,1,447.31,1,447.31
Kota Probolinggo,1,54.68,4,54.68
Kota Sabang,1,122.03,109,122.03
Kota Salatiga,1,54.98,1,54.98
Kota Samarinda,1,716.78,1,716.78
Kota Sawahlunto,1,231.95,1,231.95
Kota Semarang,2,370.0,8,370.0
Kota Serang,1,265.79,3,265.79
Kota Sibolga,1,11.47,4,11.47
Kota Singkawang,2,550.19,18,550.19
Kota Solok,2,58.72,2,58.72
Kota Sorong,1,205.14,39,205.14
Kota Subulussalam,2,1183.6,2,1183.6
Kota Sukabumi,1,48.31,1,48.31
Kota Sungai Penuh,2,364.92,3,364.92
Kota Surabaya,2,335.92,4,335.92
Kota Surakarta,1,46.72,1,46.72
Kota Tangerang,1,178.35,3,178.35
Kota Tangerang Selatan,1,164.86,2,164.86
Kota Tanjung Balai,1,60.07,1,60.07
Kota Tanjung Pinang,1,149.45,28,149.45
Kota Tarakan,1,250.98,36,250.98
Kota Tasikmalaya,2,183.94,2,183.94
Kota Tebing Tinggi,1,39.17,1,39.17
Kota Tegal,1,39.07,2,39.07
Kota Ternate,2,162.2,54,162.2
Kota Tidore Kepulauan,2,1703.32,171,1703.32
Kota Tomohon,2,169.06,8,169.06
Kota Tual,1,234.16,91,234.16
Kota Yogyakarta,1,32.82,2,32.82
Kotabaru,5,9350.77,249,9350.77
Kotawaringin Barat,2,9479.98,34,9479.98
Kotawaringin Timur,2,15543.82,21,15543.82
Kuantan Singingi,3,5457.86,3,5457.86
Kubu Raya,1,8547.11,34,8547.11
Kudus,2,447.44,3,447.44
Kulon Progo,2,577.22,3,577.22
Kuningan,3,1192.9,14,1192.9
Kupang,1,5136.51,199,5136.51
Kutai Barat,2,13611.17,3,13611.17
Kutai Kartanegara,3,26920.72,55,26920.72
Kutai Timur,4,31578.84,164,31578.84
Labuhanbatu,2,2772.38,5,2772.38
Labuhanbatu Selatan,3,3079.61,5,3079.61
Labuhanbatu Utara,2,3686.01,5,3686.01
Lahat,3,4333.06,5,4333.06
Lamandau,4,7632.39,6,7632.39
Lamongan,2,1752.71,10,1752.71
Lampung Barat,4,2107.99,14,2107.99
Lampung Selatan,2,2226.87,133,2226.87
Lampung Tengah,2,4559.57,3,4559.57
Lampung Timur,1,3860.55,15,3860.55
Lampung Utara,2,2669.3,2,2669.3
Landak,3,8430.71,8,8430.71
Langkat,4,6136.93,25,6136.93
Lanny Jaya,2,2339.77,2,2339.77
Lebak,5,3312.18,104,3312.18
Lebong,4,1666.62,9,1666.62
Lembata,1,1268.1,325,1268.1
Lima Puluh Kota,4,3273.4,4,3273.4
Lingga,1,2210.04,786,2210.04
Lombok Barat,1,923.06,191,923.06
Lombok Tengah,1,1169.52,107,1169.52
Lombok Timur,1,1606.35,91,1606.35
Lombok Utara,1,811.19,61,811.19
Lumajang,3,1797.1,21,1797.1
Luwu,3,2902.08,52,2902.08
Luwu Timur,5,6745.65,75,6745.65
Luwu Utara,4,7422.35,20,7422.35
Madiun,2,1113.63,2,1113.63
Magelang,3,1129.98,3,1129.98
Magetan,1,706.44,1,706.44
Mahakam Ulu,3,18492.22,3,18492.22
Majalengka,2,1330.17,9,1330.17
Majene,1,900.92,93,900.92
Malaka,1,1109.16,10,1109.16
Malang,3,3473.38,160,3473.38
Malinau,4,38901.83,5,38901.83
Maluku,1,2.3,6,2.3
Maluku Barat Daya,1,4551.68,554,4551.68
Maluku Tengah,1,8253.91,424,8253.91
Maluku Tenggara,1,1007.86,163,1007.86
Maluku Utara,1,0.19,4,0.19
Mamasa,2,3016.13,8,3016.13
Mamberamo Raya,2,28042.28,21,28042.28
Mamberamo Tengah,2,4101.49,2,4101.49
Mamuju,2,4942.25,149,4942.25
Mamuju Tengah,2,2758.33,38,2758.33
Mandailing Natal,6,6547.26,35,6547.26
Manggarai,1,1343.75,82,1343.75
Manggarai Barat,1,3129.0,670,3129.0
Manggarai Timur,1,2389.48,84,2389.48
Manokwari,1,2762.54,72,2762.54
