nama_das,nama_ws_induk,luas_das_km2
TEUPIN BLANG,WS ACEH-MEUREUDU,0.34
KRUENG BATEE MEUKEURENDA 5,WS ACEH-MEUREUDU,0.35
KRUENG LEUBOK 4,WS ACEH-MEUREUDU,0.34
KEUMUROH TIMUR,WS ACEH-MEUREUDU,0.33
KRUENG LEUBOK 3,WS ACEH-MEUREUDU,0.32
KRUENG LEUBOK 5,WS ACEH-MEUREUDU,0.32
PARO 3,WS ACEH-MEUREUDU,0.31
UJUNG KELINDU,WS ACEH-MEUREUDU,0.31
ANOE ITAM,WS ACEH-MEUREUDU,0.29
ARUN 2,WS ACEH-MEUREUDU,0.28
KUALA SAGI 2,WS ACEH-MEUREUDU,0.27
LHOK RAYA,WS ACEH-MEUREUDU,0.26
JE TARAH,WS ACEH-MEUREUDU,0.26
PANTE JAYA 4,WS ACEH-MEUREUDU,0.24
LHOK AYOEN,WS ACEH-MEUREUDU,0.25
PASIE JANENG LHOONG,WS ACEH-MEUREUDU,0.24
LHOK ME,WS ACEH-MEUREUDU,0.25
UJUNG MUDURU 2,WS ACEH-MEUREUDU,0.24
MEUNASAH TUHA,WS ACEH-MEUREUDU,0.23
TANGSI,WS ACEH-MEUREUDU,0.24
KRUENG BATEE MEUKEURENDA 2,WS ACEH-MEUREUDU,0.23
ANOE ITAM 2,WS ACEH-MEUREUDU,0.23
BATEE TINGGI,WS ACEH-MEUREUDU,0.21
UJUNG DATA,WS ACEH-MEUREUDU,0.23
KEUMUROH BARAT,WS ACEH-MEUREUDU,0.22
COT BAK KRUT,WS ACEH-MEUREUDU,0.21
KRUENG CEUNOHOT KECIL,WS ACEH-MEUREUDU,0.21
UJUNG BAK U,WS ACEH-MEUREUDU,0.2
SIRUI 2,WS ACEH-MEUREUDU,0.2
LHOK BAET,WS ACEH-MEUREUDU,0.21
GUA SARANG 2,WS ACEH-MEUREUDU,0.19
MUARA TIGA 3,WS ACEH-MEUREUDU,0.2
PULAU KLAH,WS ACEH-MEUREUDU,0.17
KRUENG TEUNGKU SIPHEUT 2,WS ACEH-MEUREUDU,0.17
BIEREK 2,WS ACEH-MEUREUDU,0.16
KUALA SAGI 3,WS ACEH-MEUREUDU,0.14
KRUENG SEUPEUNG RAYA 4,WS ACEH-MEUREUDU,0.13
GAPANG 2,WS ACEH-MEUREUDU,0.12
PARO 2,WS ACEH-MEUREUDU,0.12
PULAU BUNTA,WS ACEH-MEUREUDU,0.1
KRUENG SEUPEUNG RAYA 3,WS ACEH-MEUREUDU,0.1
KRUENG TEUNGKU SIPHEUT 3,WS ACEH-MEUREUDU,0.1
KUALA SAGI 4,WS ACEH-MEUREUDU,0.09
PULAU KELAPA,WS ACEH-MEUREUDU,0.05
PULAU KELAPA 3,WS ACEH-MEUREUDU,0.0
PULAU KELAPA 4,WS ACEH-MEUREUDU,0.0
ALUE ALAU 3,WS ACEH-MEUREUDU,0.07
PULAU SEULAKO,WS ACEH-MEUREUDU,0.05
PULAU GEUPON,WS ACEH-MEUREUDU,0.05
PULAU USAM LAKOH,WS ACEH-MEUREUDU,0.01
PULAU JROH,WS ACEH-MEUREUDU,0.02
PULAU TUAN,WS ACEH-MEUREUDU,0.01
BATEE LHEE BLAH,WS ACEH-MEUREUDU,0.01
PULAU BUNTA 3,WS ACEH-MEUREUDU,0.0
PULAU BUNTA 2,WS ACEH-MEUREUDU,0.0
BATEE LHEE BLAH 2,WS ACEH-MEUREUDU,0.0
ALUE LAPENG 1,WS ACEH-MEUREUDU,7.42
ALUE LEUPUENG,WS ACEH-MEUREUDU,3.06
ALUE KEUMARAH,WS ACEH-MEUREUDU,2.68
ALUE KEUMUDEE,WS ACEH-MEUREUDU,2.33
ALUE LHOK MANPUTRU,WS ACEH-MEUREUDU,2.04
LAMPUYANG 1,WS ACEH-MEUREUDU,1.96
MELINGGE 1,WS ACEH-MEUREUDU,1.79
LAMPUYANG 2,WS ACEH-MEUREUDU,1.22
RINON 2,WS ACEH-MEUREUDU,1.18
UJUNG KERUMBU,WS ACEH-MEUREUDU,1.17
LAMPUYANG 3,WS ACEH-MEUREUDU,1.16
ALUE PINEUNG,WS ACEH-MEUREUDU,1.14
LEUEN BALEE,WS ACEH-MEUREUDU,1.14
MELINGGE 2,WS ACEH-MEUREUDU,0.98
MERCUSUAR GAPEU,WS ACEH-MEUREUDU,0.88
PULAU LOH,WS ACEH-MEUREUDU,0.0
ALUE KEUREUNDA,WS ACEH-MEUREUDU,0.89
MELINGGE 4,WS ACEH-MEUREUDU,1.85
ARUN 4,WS ACEH-MEUREUDU,0.82
UJONG GLUMPANG,WS ACEH-MEUREUDU,0.7
MELINGGE 3,WS ACEH-MEUREUDU,0.65
RINON 3,WS ACEH-MEUREUDU,0.66
MELINGGE 5,WS ACEH-MEUREUDU,0.6
MELINGGE 6,WS ACEH-MEUREUDU,0.6
