ws_name,layer_name,ext,filename,drive_file_id
WS_BENAIN,RURHLDAS,shx,RURHLDAS_WS_BENAIN.shx,1Wdl2MbMBvmGUHs146Owd-IBqkwNJU4Mz
WS_BENAIN,RURHLDAS,dbf,RURHLDAS_WS_BENAIN.dbf,1xbdgTXjTh_3isQ8qbEZg4PL6IoomCoku
WS_BENAIN,RURHLDAS,cpg,RURHLDAS_WS_BENAIN.cpg,1xh1Bl5oqI-7JYAbQfZL0nKuxb1wOoGMv
WS_BENAIN,TutupanLahan,dbf,TutupanLahan_WS_BENAIN.dbf,1_WxlHMy-97clOsKWxLqg24uKpXIToosR
WS_BENAIN,TutupanLahan,shp,TutupanLahan_WS_BENAIN.shp,1Cg1fgmcQkfCXWkojWyX2GEGtf6NT_pCz
WS_BENAIN,TutupanLahan,shx,TutupanLahan_WS_BENAIN.shx,1IGnTNES_5RIK1YxAziNmwFfio7oirvSZ
WS_BENAIN,TutupanLahan,prj,TutupanLahan_WS_BENAIN.prj,1xIeely4DViGYQOiOYPejpknFbqC6wU6d
WS_BENAIN,TutupanLahan,cpg,TutupanLahan_WS_BENAIN.cpg,1sL0Jju2LT4pxFIjoUtWEXMwfjgjhKlaC
WS_BENAIN,KawasanHutan,shp,KawasanHutan_WS_BENAIN.shp,1eRRVdJYoRT1RMWaXV8c7q9w4DgFbKkqO
WS_BENAIN,KawasanHutan,dbf,KawasanHutan_WS_BENAIN.dbf,197X0tMm6NUR0JcG798jrgkLbCuLyhgpo
WS_BENAIN,KawasanHutan,shx,KawasanHutan_WS_BENAIN.shx,1BIs7CsLtMRR1_zp19_8ffsZkY4IetClb
WS_BENAIN,KawasanHutan,cpg,KawasanHutan_WS_BENAIN.cpg,1ZTaOxhp33HPsMskkLnVisObgTNLFyhSa
WS_BENAIN,KawasanHutan,prj,KawasanHutan_WS_BENAIN.prj,1ng7K7Ve74yWR8kRRgD685rVFsjzb_TTf
WS_BENAIN,JenisTanah,shx,JenisTanah_WS_BENAIN.shx,1YwIJDLaeTeI1Za1sGBxj3EPC5xSlY-c8
WS_BENAIN,JenisTanah,prj,JenisTanah_WS_BENAIN.prj,1cTsbJQ8chU1iIawPGYzgzCYlEswWnvd4
WS_BENAIN,JenisTanah,dbf,JenisTanah_WS_BENAIN.dbf,1XMGkXSQ90yLSwQD66IW7ASw8A9MqSnMj
WS_BENAIN,JenisTanah,cpg,JenisTanah_WS_BENAIN.cpg,1f6VL52bA_Dg8qQG4OSEZsEAIGYBX0lRx
WS_BENAIN,JenisTanah,shp,JenisTanah_WS_BENAIN.shp,1YHIfOfCsz9qsZ19FSmCyYWkgdpix1Q8a
WS_BENAIN,Erosi,shx,Erosi_WS_BENAIN.shx,13HJ8Lt1QEQpm6RFRLYjRh5SS4kYRDQAq
WS_BENAIN,Erosi,prj,Erosi_WS_BENAIN.prj,14NEzORjAsqabbKn4VBpWrO5mmOzVZFbn
WS_BENAIN,Erosi,dbf,Erosi_WS_BENAIN.dbf,1gH4U85vXwxNmrNy0FnJxAoo5yERZg_xH
WS_BENAIN,Erosi,cpg,Erosi_WS_BENAIN.cpg,1pl2frSSwNFOsVP41cpm8IFn2CDji9K1t
WS_BENAIN,Erosi,shp,Erosi_WS_BENAIN.shp,1MdYypVx3WcnFMAOt6lWUlUeivRflKv0O
WS_BATANGHARI,RURHLDAS,shx,RURHLDAS_WS_BATANGHARI.shx,1Z81gdoYd9dpUTIwz270yGl7tCTpMt575
WS_BATANGHARI,RURHLDAS,cpg,RURHLDAS_WS_BATANGHARI.cpg,11rZ-Ss4us9uwWzkSZD5j-xqD2pYPYZI2
WS_BATANGHARI,RURHLDAS,dbf,RURHLDAS_WS_BATANGHARI.dbf,1hkRuN74tox4uIgWWaLRdsVvMi4jgopxB
WS_BATANGHARI,RURHLDAS,prj,RURHLDAS_WS_BATANGHARI.prj,1F_sSmz3SZXyTqeWUGFDAI-iJsoECQCoR
WS_BATANGHARI,RURHLDAS,shp,RURHLDAS_WS_BATANGHARI.shp,1yipohCA2c5I-XUYsGe9Lz9l6y7V1RKnS
WS_BATANGHARI,TutupanLahan,dbf,TutupanLahan_WS_BATANGHARI.dbf,1wTZgvbXQ_twfw9NWxBnRF-oeJRjiM617
WS_BATANGHARI,TutupanLahan,shp,TutupanLahan_WS_BATANGHARI.shp,16V2N2_8eijYN3hoXEtH-vpW9ZG5MGcpD
